Cilium compartment(s),Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,Subcellular location,Subcellular main location,Subcellular additional location,Reliability (IF),RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type specific nCPM,Protein cell type specificity
Centriolar satellite,SPAG9,CT89; FLJ13450; FLJ14006; FLJ26141; FLJ34602; HLC4; HSS; JIP-4; JIP4; JLP; KIAA0516; MGC117291; MGC14967; MGC74461; PHET; PIG6; SYD1,ENSG00000008294,Sperm associated antigen 9,O60271,17,50962174-51120868,Plasma proteins; Predicted intracellular proteins; Predicted membrane proteins,,,,Evidence at protein level,Centriolar satellite; Cytosol,Centriolar satellite; Cytosol,,Enhanced,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Endometrial glandular cells': '1576.5', 'Neutrophils': '2267.0'}",Cell type enhanced
Primary cilium; Primary cilium transition zone,SPHK1,SPHK,ENSG00000176170,Sphingosine kinase 1,Q9NYA1,17,76376584-76387860,Enzymes; Metabolic proteins; Predicted intracellular proteins,Lipid metabolism,Calmodulin-binding; Kinase; Transferase,,Evidence at protein level,Vesicles; Plasma membrane; Primary cilium; Primary cilium transition zone,Plasma membrane,Vesicles; Primary cilium; Primary cilium transition zone,Supported,Low tissue specificity,Detected in many,,,Cell type enhanced,"{'Breast myoepithelial cells': '51.7', 'Breast secretory cells': '104.4', 'Cholangiocytes': '60.9', 'Decidual stromal cells': '86.4', 'Endometrial glandular cells': '77.3', 'Epididymal basal cells': '61.7', 'Esophageal apical cells': '194.5', 'Lymphatic endothelial cells': '63.8', 'Müller glia': '141.8', 'Ocular epithelial cells': '54.5', 'Pancreatic duct cells': '77.8', 'Platelets': '132.4', 'Schwann cells': '53.6'}",Group enriched
Primary cilium,TAOK1,FLJ14314; hKFC-B; hTAOK1; KIAA1361; MAP3K16; MARKK; PSK2; TAO1,ENSG00000160551,TAO kinase 1,Q7L7X3,17,29390363-29551903,Disease related genes; Enzymes; Human disease related genes; Potential drug targets; Predicted intracellular proteins,Apoptosis; DNA damage; DNA repair,Kinase; Serine/threonine-protein kinase; Transferase,Disease variant; Intellectual disability,Evidence at protein level,Vesicles; Plasma membrane; Primary cilium; Cytosol,Plasma membrane; Cytosol,Vesicles; Primary cilium,Approved,Low tissue specificity,Detected in all,,,Low cell type specificity,,Cell type enhanced
Basal body; Primary cilium,TOM1L2,,ENSG00000175662,Target of myb1 like 2 membrane trafficking protein,Q6ZVM7,17,17843511-17972422,Predicted intracellular proteins,Protein transport; Transport,,,Evidence at protein level,Vesicles; Microtubules; Primary cilium; Basal body,Vesicles; Microtubules; Primary cilium; Basal body,,Approved,Tissue enhanced,Detected in all,,{'heart muscle': '132.0'},Cell type enhanced,"{'Esophageal apical cells': '549.5', 'Podocytes': '919.6'}",Low cell type specificity
Centrosome,TRPV3,VRL3,ENSG00000167723,Transient receptor potential cation channel subfamily V member 3,Q8NET8,17,3510502-3557812,Disease related genes; FDA approved drug targets; Human disease related genes; Predicted membrane proteins; Transporters,Calcium transport; Ion transport; Transport,Calcium channel; Ion channel,Disease variant; FDA approved drug targets; Palmoplantar keratoderma,Evidence at protein level,Plasma membrane; Centrosome; Cytosol,Plasma membrane,Centrosome; Cytosol,Approved,Group enriched,Detected in some,4,"{'intestine': '4.9', 'skeletal muscle': '1.7', 'skin 1': '5.0'}",Cell type enhanced,"{'Basal keratinocytes': '20.8', 'Colonocytes': '20.0', 'Enterocytes': '64.3', 'Foveolar cells': '14.5', 'Goblet cells': '13.2', 'Myonuclei': '30.6', 'Ocular epithelial cells': '53.8', 'Paneth cells': '15.5', 'Plasma cells': '34.0', 'Sertoli cells': '13.7', 'Suprabasal keratinocytes': '19.6'}",Not detected
Basal body; Primary cilium,TTLL6,FLJ35808,ENSG00000170703,Tubulin tyrosine ligase like 6,Q8N841,17,48762234-48817229,Predicted intracellular proteins,,Ligase,,Evidence at protein level,Microtubules; Primary cilium; Basal body; Flagellar centriole; Mid piece; Principal piece; End piece,Microtubules; Primary cilium; Basal body; Flagellar centriole,Mid piece; Principal piece; End piece,Supported,Tissue enhanced,Detected in some,,"{'choroid plexus': '4.6', 'testis': '18.2'}",Cell type enriched,{'Late spermatids': '325.4'},Not detected
Centriolar satellite,TUBG2,,ENSG00000037042,Tubulin gamma 2,Q9NRH3,17,42659284-42667006,Essential proteins; Predicted intracellular proteins,,,,Evidence at protein level,Centriolar satellite; Principal piece,Centriolar satellite; Principal piece,,Supported,Tissue enhanced,Detected in all,,{'brain': '120.4'},Cell type enhanced,{'Erythrocyte progenitors': '56.3'},Cell type enhanced
Basal body,ZNF287,ZKSCAN13; ZSCAN45,ENSG00000141040,Zinc finger protein 287,Q9HBT7,17,16546954-16569204,Predicted intracellular proteins; Transcription factors,Transcription; Transcription regulation,DNA-binding,,Evidence at protein level,Golgi apparatus; Basal body,Golgi apparatus,Basal body,Approved,Low tissue specificity,Detected in many,,,Cell type enhanced,{'Corticotrophs': '21.2'},Cell type enriched
Basal body,ACAA2,DSAEC,ENSG00000167315,Acetyl-CoA acyltransferase 2,P42765,18,49782164-49813953,Enzymes; Metabolic proteins; Plasma proteins; Predicted intracellular proteins,Fatty acid metabolism; Lipid metabolism,Acyltransferase; Hydrolase; Transferase,,Evidence at protein level,Mitochondria; Basal body; Cytosol,Mitochondria,Basal body; Cytosol,Supported,Tissue enhanced,Detected in all,,{'liver': '945.6'},Cell type enhanced,"{'Cholangiocytes': '248.6', 'Colonocytes': '297.7', 'Enteric transient amplifying cells': '170.3', 'Enterocytes': '199.2', 'Hepatocytes': '854.3', 'Late spermatids': '265.7'}",Cell type enhanced
Centriolar satellite,CD226,DNAM-1; DNAM1; PTA1; TLiSA1,ENSG00000150637,CD226 molecule,Q15762,18,69831158-69961803,CD markers; Human disease related genes; Predicted intracellular proteins; Predicted membrane proteins,Cell adhesion,Receptor,,Evidence at protein level,Nucleoplasm; Plasma membrane; Centriolar satellite,Plasma membrane,Nucleoplasm; Centriolar satellite,Supported,Group enriched,Detected in many,9,"{'lymphoid tissue': '19.0', 'parathyroid gland': '58.7'}",Cell type enriched,{'Platelets': '1418.7'},Cell type enriched
Basal body; Centrosome,CEP192,FLJ10352; KIAA1569; PPP1R62,ENSG00000101639,Centrosomal protein 192,Q8TEP8,18,12991362-13125052,Essential proteins; Predicted intracellular proteins,,,,Evidence at protein level,Centrosome; Basal body; Cytosol,Cytosol,Centrosome; Basal body,Uncertain,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Sertoli cells': '291.4'},Cell type enhanced
Primary cilium,CEP76,C18orf9; FLJ12542; HsT1705,ENSG00000101624,Centrosomal protein 76,Q8TAP6,18,12661833-12702777,Cancer-related genes; Predicted intracellular proteins,,,Cancer-related genes,Evidence at protein level,Nucleoplasm; Plasma membrane; Microtubules; Mitotic spindle; Primary cilium; Cytosol; Perinuclear theca; Flagellar centriole,Microtubules; Mitotic spindle; Primary cilium; Perinuclear theca; Flagellar centriole,Nucleoplasm; Plasma membrane; Cytosol,Uncertain,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Early spermatids': '293.0', 'Late primary spermatocytes': '76.3', 'Late spermatids': '72.3'}",Cell type enriched
Basal body,CFAP53,CCDC11; FLJ32743,ENSG00000172361,Cilia and flagella associated protein 53,Q96M91,18,50227193-50266495,Disease related genes; Human disease related genes; Predicted intracellular proteins,Cilium biogenesis/degradation; Differentiation; Spermatogenesis,Developmental protein,Ciliopathy; Disease variant; Heterotaxy,Evidence at protein level,Nucleoplasm; Nuclear membrane; Basal body; Cytosol,Basal body; Cytosol,Nucleoplasm; Nuclear membrane,Approved,Group enriched,Detected in many,7,"{'choroid plexus': '19.4', 'fallopian tube': '26.8', 'testis': '76.5'}",Group enriched,"{'Early spermatids': '699.4', 'Endometrial ciliated cells': '414.7', 'Epididymal efferent duct ciliated cells': '409.2', 'Fallopian tube ciliated cells': '446.2', 'Late primary spermatocytes': '1365.9', 'Late spermatids': '741.6', 'Respiratory ciliated cells': '538.9'}",Group enriched
Basal body; Centriolar satellite; Centrosome,DCC,IGDCC1; NTN1R1,ENSG00000187323,DCC netrin 1 receptor,P43146,18,52340197-53535903,Cancer-related genes; Disease related genes; Human disease related genes; Plasma proteins; Predicted intracellular proteins; Predicted membrane proteins,Apoptosis,Developmental protein; Receptor,Cancer-related genes; Disease variant; Intellectual disability; Tumor suppressor,Evidence at protein level,Golgi apparatus; Centriolar satellite; Centrosome; Basal body,Golgi apparatus,Centriolar satellite; Centrosome; Basal body,Approved,Tissue enhanced,Detected in some,,"{'brain': '3.0', 'testis': '7.2'}",Cell type enhanced,"{'Brain excitatory neurons': '744.0', 'Brain inhibitory neurons': '1141.3', 'Corticotrophs': '2012.7', 'Early spermatids': '414.9', 'Late spermatids': '291.7', 'Oligodendrocyte progenitor cells': '1894.5', 'Other brain neurons': '646.5', 'Plasma cells': '382.2', 'Retinal amacrine cells': '543.0', 'Thyrotrophs': '568.4'}",Cell type enhanced
Basal body; Primary cilium,EPB41L3,4.1B; DAL1; KIAA0987,ENSG00000082397,Erythrocyte membrane protein band 4.1 like 3,Q9Y2J2,18,5392381-5630700,Plasma proteins; Predicted intracellular proteins; Predicted membrane proteins,Apoptosis,Actin-binding,Tumor suppressor,Evidence at protein level,Plasma membrane; Cell Junctions; Primary cilium; Basal body,Plasma membrane; Cell Junctions,Primary cilium; Basal body,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Cone photoreceptor cells': '461.6', 'Enterocytes': '471.9', 'Esophageal apical cells': '440.7', 'Kupffer cells': '452.0', 'Late spermatids': '459.7', 'Macrophages': '479.3', 'monocytes': '600.8', 'Proximal tubule cells': '557.9', 'Retinal amacrine cells': '527.1', 'Retinal ganglion cells': '591.0', 'Sertoli cells': '461.0', 'Syncytiotrophoblasts': '542.6'}",Cell type enhanced
Centrosome,HAUS1,CCDC5; FLJ40084; HEI-C; HsT1461,ENSG00000152240,HAUS augmin like complex subunit 1,Q96CS2,18,46104378-46128333,Essential proteins; Predicted intracellular proteins,Cell cycle; Cell division; Mitosis,,,Evidence at protein level,Centrosome; Cytosol; Mid piece; End piece,Cytosol,Centrosome; Mid piece; End piece,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Extravillous trophoblasts': '133.3', 'Migrating cytotrophoblasts': '107.8'}",Cell type enhanced
Centriolar satellite,KCTD1,C18orf5,ENSG00000134504,Potassium channel tetramerization domain containing 1,Q719H9,18,26454910-26657401,Disease related genes; Predicted intracellular proteins,Transcription; Transcription regulation,Repressor,Disease variant,Evidence at protein level,Nucleoplasm; Nucleoli; Cytokinetic bridge; Centriolar satellite,Nucleoplasm,Nucleoli; Cytokinetic bridge; Centriolar satellite,Approved,Low tissue specificity,Detected in many,,,Cell type enhanced,"{'Distal convoluted tubule cells': '559.6', 'Ependymal cells': '301.5', 'Loop of henle epithelial cells': '309.6', 'Pituicytes/FSCs': '494.4', 'Pituitary stem cells': '322.6'}",Cell type enhanced
Basal body; Centriolar satellite; Primary cilium,MIB1,DIP-1; KIAA1323; MIB; ZZANK2; ZZZ6,ENSG00000101752,MIB E3 ubiquitin protein ligase 1,Q86YT6,18,21704957-21870953,Disease related genes; Enzymes; Human disease related genes; Metabolic proteins; Potential drug targets; Predicted intracellular proteins,Notch signaling pathway; Ubl conjugation pathway,Transferase,Cardiomyopathy; Disease variant,Evidence at protein level,Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium; Centriolar satellite; Basal body,Microtubules; Primary cilium,Cytokinetic bridge; Mitotic spindle; Centriolar satellite; Basal body,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Cardiomyocytes': '2576.9', 'Myonuclei': '980.3', 'Podocytes': '526.0'}",Low cell type specificity
Centrosome,NDC80,HEC; HEC1; hsNDC80; KNTC2; TID3,ENSG00000080986,NDC80 kinetochore complex component,O14777,18,2571557-2616635,Essential proteins; Predicted intracellular proteins,Cell cycle; Cell division; Mitosis,,,Evidence at protein level,Nucleoplasm; Nuclear speckles; Centrosome; Cytosol,Nucleoplasm; Nuclear speckles,Centrosome; Cytosol,Supported,Tissue enhanced,Detected in many,,"{'bone marrow': '29.4', 'lymphoid tissue': '27.2'}",Cell type enhanced,"{'Early primary spermatocytes': '71.9', 'Enteric transient amplifying cells': '29.6', 'Erythrocyte progenitors': '80.5', 'Extravillous trophoblasts': '31.1', 'Late primary spermatocytes': '73.0', 'Megakaryocyte progenitors': '62.0', 'Monocyte progenitors': '101.4', 'Neutrophil progenitors': '50.2', 'Oocytes': '82.9'}",Group enriched
Primary cilium; Primary cilium tip,PTPRM,hR-PTPu; PTPRL1; RPTPU,ENSG00000173482,Protein tyrosine phosphatase receptor type M,P28827,18,7566782-8406861,Enzymes; Plasma proteins; Predicted intracellular proteins; Predicted membrane proteins,Cell adhesion,Hydrolase; Protein phosphatase; Receptor,,Evidence at protein level,Plasma membrane; Primary cilium; Primary cilium tip,Plasma membrane,Primary cilium; Primary cilium tip,Enhanced,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Bergmann glia': '1139.2', 'Choroid plexus epithelial cells': '1448.8', 'Endometrial glandular cells': '1120.2', 'Endometrial luminal cells': '1179.2', 'Melanocytes': '1194.2', 'Urothelial cells': '1106.6', 'Vascular endothelial cells': '1535.2'}",Cell type enhanced
Centriolar satellite,RIOK3,SUDD,ENSG00000101782,RIO kinase 3,O14730,18,23453287-23486603,Enzymes; Predicted intracellular proteins,Antiviral defense; Immunity; Innate immunity; Ribosome biogenesis,Kinase; Serine/threonine-protein kinase; Transferase,,Evidence at protein level,Golgi apparatus; Plasma membrane; Centriolar satellite; Cytosol,Plasma membrane; Cytosol,Golgi apparatus; Centriolar satellite,Approved,Tissue enhanced,Detected in all,,{'bone marrow': '164.5'},Cell type enhanced,"{'Esophageal apical cells': '1542.4', 'Neutrophil progenitors': '787.9', 'Neutrophils': '608.7', 'Ocular epithelial cells': '637.5', 'Platelets': '1067.8'}",Cell type enhanced
Basal body; Centrosome,RTTN,DKFZP434G145,ENSG00000176225,Rotatin,Q86VV8,18,70003031-70205726,Disease related genes; Human disease related genes; Predicted intracellular proteins,,Developmental protein,Disease variant,Evidence at protein level,Centrosome; Basal body; Cytosol,Cytosol,Centrosome; Basal body,Uncertain,Low tissue specificity,Detected in many,,,Cell type enriched,{'Microglia': '746.1'},Group enriched
Basal body; Centriolar satellite; Primary cilium,SKA1,C18orf24; MGC10200,ENSG00000154839,Spindle and kinetochore associated complex subunit 1,Q96BD8,18,50375040-50394168,Essential proteins; Predicted intracellular proteins,Cell cycle; Cell division; Mitosis,,,Evidence at protein level,Microtubules; Cytokinetic bridge; Primary cilium; Centriolar satellite; Basal body,Microtubules; Primary cilium,Cytokinetic bridge; Centriolar satellite; Basal body,Supported,Tissue enhanced,Detected in some,,"{'bone marrow': '11.2', 'lymphoid tissue': '4.5'}",Cell type enhanced,"{'Early primary spermatocytes': '1.6', 'Early spermatids': '1.9', 'Erythrocyte progenitors': '7.0', 'Late primary spermatocytes': '1.2', 'Megakaryocyte progenitors': '3.4', 'Monocyte progenitors': '4.4', 'Plasma cells': '1.4'}",Cell type enriched
Primary cilium transition zone,SMAD2,JV18-1; MADH2; MADR2,ENSG00000175387,SMAD family member 2,Q15796,18,47808957-47931146,Cancer-related genes; Disease related genes; Human disease related genes; Plasma proteins; Predicted intracellular proteins; Predicted membrane proteins; Transcription factors,Transcription; Transcription regulation,DNA-binding,Cancer-related genes; Disease variant; Heterotaxy,Evidence at protein level,Nucleoplasm; Nucleoli; Vesicles; Primary cilium transition zone; Cytosol,Nucleoplasm; Nucleoli,Vesicles; Primary cilium transition zone; Cytosol,Supported,Low tissue specificity,Detected in all,,,Low cell type specificity,,Cell type enhanced
Basal body; Centrosome; Primary cilium tip,SMAD4,DPC4; MADH4,ENSG00000141646,SMAD family member 4,Q13485,18,51028394-51085045,Cancer-related genes; Disease related genes; Human disease related genes; Predicted intracellular proteins; Transcription factors,Transcription; Transcription regulation,DNA-binding,Cancer-related genes; Disease variant,Evidence at protein level,Nucleoplasm; Vesicles; Primary cilium tip; Centrosome; Basal body; Cytosol,Nucleoplasm; Centrosome; Basal body,Vesicles; Primary cilium tip; Cytosol,Supported,Low tissue specificity,Detected in all,,,Low cell type specificity,,Cell type enhanced
Basal body; Centrosome,SMAD7,MADH7; MADH8,ENSG00000101665,SMAD family member 7,O15105,18,48919853-48950965,Disease related genes; Human disease related genes; Predicted intracellular proteins; Transcription factors,Transcription; Transcription regulation,,,Evidence at protein level,Nucleoplasm; Nucleoli fibrillar center; Centrosome; Basal body; Cytosol,Nucleoplasm; Centrosome; Basal body,Nucleoli fibrillar center; Cytosol,Supported,Tissue enhanced,Detected in all,,{'blood vessel': '49.1'},Cell type enhanced,"{'Alveolar cells type 1': '115.2', 'Endometrial glandular cells': '64.5', 'Endometrial luminal cells': '81.7', 'Vascular endothelial cells': '64.2'}",Not detected
